exp =   -19 | value =     7, exp =   -76, mad's 0.00003 | ours 0.00003 | ours - mad = -0.00000
exp =   -19 | value =    12, exp =   -76, mad's 0.00005 | ours 0.00005 | ours - mad = 0.00000
exp =   -19 | value =    16, exp =   -76, mad's 0.00008 | ours 0.00008 | ours - mad = -0.00000
exp =   -19 | value =    20, exp =   -76, mad's 0.00010 | ours 0.00010 | ours - mad = -0.00000
exp =   -19 | value =    22, exp =   -76, mad's 0.00012 | ours 0.00012 | ours - mad = 0.00000
exp =   -19 | value =    23, exp =   -76, mad's 0.00012 | ours 0.00012 | ours - mad = 0.00000
exp =   -19 | value =    23, exp =   -76, mad's 0.00012 | ours 0.00012 | ours - mad = 0.00000
exp =   -19 | value =    22, exp =   -76, mad's 0.00012 | ours 0.00012 | ours - mad = 0.00000
exp =   -19 | value =    21, exp =   -76, mad's 0.00011 | ours 0.00011 | ours - mad = -0.00000
exp =   -19 | value =    19, exp =   -76, mad's 0.00010 | ours 0.00010 | ours - mad = 0.00000
exp =   -19 | value =    16, exp =   -76, mad's 0.00008 | ours 0.00008 | ours - mad = -0.00000
exp =   -19 | value =    13, exp =   -76, mad's 0.00006 | ours 0.00006 | ours - mad = 0.00000
exp =   -19 | value =     9, exp =   -76, mad's 0.00004 | ours 0.00004 | ours - mad = 0.00000
exp =   -19 | value =     6, exp =   -76, mad's 0.00002 | ours 0.00002 | ours - mad = 0.00000
exp =   -19 | value =     8, exp =   -76, mad's 0.00003 | ours 0.00003 | ours - mad = -0.00000
exp =   -19 | value =     1, exp =   -76, mad's 0.00000 | ours 0.00000 | ours - mad = 0.00000
exp =   -19 | value =    11, exp =   -76, mad's 0.00005 | ours 0.00005 | ours - mad = 0.00000
exp =   -19 | value =     2, exp =   -76, mad's 0.00000 | ours 0.00000 | ours - mad = 0.00000
exp =   -19 | value =    14, exp =   -76, mad's 0.00006 | ours 0.00006 | ours - mad = -0.00000
exp =   -19 | value =    15, exp =   -76, mad's 0.00007 | ours 0.00007 | ours - mad = -0.00000
exp =   -19 | value =    15, exp =   -76, mad's 0.00007 | ours 0.00007 | ours - mad = -0.00000
exp =   -19 | value =    15, exp =   -76, mad's 0.00007 | ours 0.00007 | ours - mad = -0.00000
exp =   -19 | value =    15, exp =   -76, mad's 0.00007 | ours 0.00007 | ours - mad = -0.00000
exp =   -19 | value =    15, exp =   -76, mad's 0.00007 | ours 0.00007 | ours - mad = -0.00000
exp =   -19 | value =     1, exp =   -76, mad's 0.00000 | ours 0.00000 | ours - mad = 0.00000
exp =   -17 | value =   813, exp =   -70, mad's 0.04094 | ours 0.04094 | ours - mad = 0.00000
exp =   -17 | value =  1456, exp =   -70, mad's 0.08903 | ours 0.08903 | ours - mad = 0.00000
exp =   -17 | value =   898, exp =   -70, mad's 0.04674 | ours 0.04674 | ours - mad = 0.00000
exp =   -17 | value =  7648, exp =   -70, mad's 0.81290 | ours 0.81290 | ours - mad = 0.00000
exp =   -17 | value =   169, exp =   -70, mad's 0.00504 | ours 0.00504 | ours - mad = 0.00000
exp =   -17 | value =   343, exp =   -70, mad's 0.01295 | ours 0.01295 | ours - mad = 0.00000
exp =   -17 | value =  1123, exp =   -70, mad's 0.06297 | ours 0.06297 | ours - mad = 0.00000
exp =   -17 | value =  6084, exp =   -70, mad's 0.59918 | ours 0.59918 | ours - mad = 0.00000
exp =   -17 | value =   260, exp =   -70, mad's 0.00895 | ours 0.00895 | ours - mad = 0.00000
exp =   -17 | value =   104, exp =   -70, mad's 0.00264 | ours 0.00264 | ours - mad = 0.00000
000
exp =   -17 | value =  2302, exp =   -70, mad's 0.16398 | ours 0.16398 | ours - mad = -0.00000
exp =   -17 | value =  3939, exp =   -70, mad's 0.33560 | ours 0.33560 | ours - mad = 0.00000
exp =   -17 | value =  1609, exp =   -70, mad's 0.10171 | ours 0.10171 | ours - mad = 0.00000
exp =   -17 | value =   280, exp =   -70, mad's 0.00988 | ours 0.00988 | ours - mad = 0.00000
exp =   -17 | value =   439, exp =   -70, mad's 0.01800 | ours 0.01800 | ours - mad = 0.00000
exp =   -17 | value =  5292, exp =   -70, mad's 0.49751 | ours 0.49751 | ours - mad = 0.00000
exp =   -17 | value =   866, exp =   -70, mad's 0.04453 | ours 0.04453 | ours - mad = 0.00000
exp =   -17 | value =    11, exp =   -70, mad's 0.00013 | ours 0.00013 | ours - mad = 0.00000
exp =   -17 | value =   179, exp =   -70, mad's 0.00544 | ours 0.00544 | ours - mad = 0.00000
exp =   -17 | value =  6407, exp =   -70, mad's 0.64197 | ours 0.64197 | ours - mad = 0.00000
exp =   -17 | value =   573, exp =   -70, mad's 0.02568 | ours 0.02568 | ours - mad = 0.00000
exp =   -17 | value =     8, exp =   -70, mad's 0.00009 | ours 0.00009 | ours - mad = 0.00000
exp =   -17 | value =   214, exp =   -70, mad's 0.00691 | ours 0.00691 | ours - mad = -0.00000
exp =   -17 | value =   620, exp =   -70, mad's 0.02852 | ours 0.02852 | ours - mad = 0.00000
exp =   -17 | value =   397, exp =   -70, mad's 0.01574 | ours 0.01574 | ours - mad = 0.00000
exp =   -17 | value =   374, exp =   -70, mad's 0.01454 | ours 0.01454 | ours - mad = 0.00000
exp =   -17 | value =   392, exp =   -70, mad's 0.01548 | ours 0.01548 | ours - mad = 0.00000
exp =   -17 | value =   205, exp =   -70, mad's 0.00652 | ours 0.00652 | ours - mad = 0.00000
exp =   -17 | value =    41, exp =   -70, mad's 0.00076 | ours 0.00076 | ours - mad = 0.00000
exp =   -17 | value =    20, exp =   -70, mad's 0.00029 | ours 0.00029 | ours - mad = -0.00000
exp =   -17 | value =     5, exp =   -70, mad's 0.00005 | ours 0.00005 | ours - mad = 0.00000
exp =   -17 | value =    80, exp =   -70, mad's 0.00186 | ours 0.00186 | ours - mad = 0.00000
exp =   -17 | value =    46, exp =   -70, mad's 0.00089 | ours 0.00089 | ours - mad = 0.00000
exp =   -17 | value =     6, exp =   -70, mad's 0.00006 | ours 0.00006 | ours - mad = 0.00000
exp =   -17 | value =    10, exp =   -70, mad's 0.00012 | ours 0.00012 | ours - mad = 0.00000
exp =   -17 | value =   123, exp =   -70, mad's 0.00330 | ours 0.00330 | ours - mad = 0.00000
exp =   -17 | value =   208, exp =   -70, mad's 0.00665 | ours 0.00665 | ours - mad = 0.00000
exp =   -17 | value =   201, exp =   -70, mad's 0.00635 | ours 0.00635 | ours - mad = 0.00000
exp =   -17 | value =   183, exp =   -70, mad's 0.00561 | ours 0.00561 | ours - mad = 0.00000
exp =   -17 | value =     7, exp =   -70, mad's 0.00007 | ours 0.00007 | ours - mad = 0.00000
exp =   -17 | value =     1, exp =   -70, mad's 0.00001 | ours 0.00001 | ours - mad = 0.00000
exp =   -17 | value =   181, exp =   -70, mad's 0.00552 | ours 0.00552 | ours - mad = 0.00000
exp =   -17 | value =   201, exp =   -70, mad's 0.00635 | ours 0.00635 | ours - mad = 0.00000
exp =   -17 | value =    69, exp =   -70, mad's 0.00153 | ours 0.00153 | ours - mad = 0.00000
exp =   -17 | value =   119, exp =   -70, mad's 0.00316 | ours 0.00316 | ours - mad = 0.00000
exp =   -17 | value =   119, exp =   -70, mad's 0.00316 | ours 0.00316 | ours - mad = 0.00000
exp =   -17 | value =   113, exp =   -70, mad's 0.00295 | ours 0.00295 | ours - mad = 0.00000
exp =   -17 | value =     3, exp =   -70, mad's 0.00002 | ours 0.00002 | ours - mad = 0.00000
exp =   -17 | value =     4, exp =   -70, mad's 0.00003 | ours 0.00003 | ours - mad = 0.00000
exp =   -17 | value =   115, exp =   -70, mad's 0.00302 | ours 0.00302 | ours - mad = -0.00000
exp =   -17 | value =   129, exp =   -70, mad's 0.00352 | ours 0.00352 | ours - mad = 0.00000
exp =   -17 | value =    46, exp =   -70, mad's 0.00089 | ours 0.00089 | ours - mad = 0.00000
exp =   -17 | value =    80, exp =   -70, mad's 0.00186 | ours 0.00186 | ours - mad = 0.00000
s 0.00192 | ours 0.00192 | ours - mad = 0.00000
